flow_id,src_ip,dst_ip,src_port,dst_port,start_time,end_time,protocol_name,duration,total_packets,total_bytes,packet_rate,byte_rate,pkt_len_mean,pkt_len_max,pkt_len_std,iat_mean,iat_std,syn_count,ack_count,rst_count,protocol
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:59075->2001:4860:4840:400:::443_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2001:4860:4840:400::,59075,443,1788059749.544195,1788059885.589056,TCP,136.044861,25,3624,0.1838,26.6383,144.96,660,193.626,5.668536,7.299522,0,25,0,6
2001:4860:4840:400:::443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:59075_TCP,2001:4860:4840:400::,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,59075,1788059749.610583,1788059885.643335,TCP,136.032752,39,34610,0.2867,254.424,887.4359,1294,557.7348,3.579809,6.398625,0,39,0,6
2606:4700:90:0:f22e:fbec:5bed:a9b9:443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:58270_TCP,2606:4700:90:0:f22e:fbec:5bed:a9b9,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,58270,1788059750.153669,1788059894.632813,TCP,144.479144,49,6566,0.3391,45.446,134.0,134,0.0,3.009982,0.072872,0,49,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:58270->2606:4700:90:0:f22e:fbec:5bed:a9b9:443_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2606:4700:90:0:f22e:fbec:5bed:a9b9,58270,443,1788059750.199309,1788059894.680569,TCP,144.48126,49,3626,0.3391,25.0967,74.0,74,0.0,3.010026,0.073452,0,49,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:51982->64:ff9b::2236:546e:443_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,64:ff9b::2236:546e,51982,443,1788059756.075410,1788059876.381487,TCP,120.306077,8,846,0.0665,7.0321,105.75,119,19.1815,17.186582,15.78349,0,8,0,6
64:ff9b::2236:546e:443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:51982_TCP,64:ff9b::2236:546e,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,51982,1788059756.132672,1788059876.427200,TCP,120.294527,11,1069,0.0914,8.8865,97.1818,151,34.8764,12.029453,15.329588,0,11,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:56976->2001:4860:4840:400:::443_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2001:4860:4840:400::,56976,443,1788059756.567543,1788059821.250468,TCP,64.682925,17,3627,0.2628,56.0735,213.3529,660,255.1588,4.042683,6.490413,0,17,0,6
2001:4860:4840:400:::443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:56976_TCP,2001:4860:4840:400::,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,56976,1788059756.633571,1788059821.250426,TCP,64.616854,27,18639,0.4178,288.4542,690.3333,1294,582.1749,2.485264,5.418074,0,27,0,6
2409:40c4:2024:5958:f568:eac1:7f8f:4a02:0->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:0_IPv6-ICMP,2409:40c4:2024:5958:f568:eac1:7f8f:4a02,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,0,0,1788059758.180191,1788059880.845680,IPv6-ICMP,122.665488,14,1148,0.1141,9.3588,82.0,86,4.151,9.435807,5.297392,0,0,0,1
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:0->2409:40c4:2024:5958:f568:eac1:7f8f:4a02:0_IPv6-ICMP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2409:40c4:2024:5958:f568:eac1:7f8f:4a02,0,0,1788059758.180234,1788059880.845411,IPv6-ICMP,122.665176,14,1204,0.1141,9.8153,86.0,86,0.0,9.435783,5.297828,0,0,0,1
2001:4860:4842:400:::443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:56972_TCP,2001:4860:4842:400::,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,56972,1788059758.953606,1788059759.011235,TCP,0.057629,2,148,34.7047,2568.1466,74.0,74,0.0,0.057629,0.0,0,1,1,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:56972->2001:4860:4842:400:::443_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2001:4860:4842:400::,56972,443,1788059758.953659,1788059758.953889,TCP,0.00023,3,246,13039.287,1069221.5378,82.0,98,13.8564,0.000115,1.4e-05,0,3,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:61720->2404:6800:4013:813::5f:443_UDP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2404:6800:4013:813::5f,61720,443,1788059760.072754,1788059883.348145,UDP,123.275391,16,1481,0.1298,12.0138,92.5625,95,1.6721,8.218359,5.98889,0,0,0,17
2404:6800:4013:813::5f:443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:61720_UDP,2404:6800:4013:813::5f,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,61720,1788059760.178912,1788059883.347967,UDP,123.169054,17,3720,0.138,30.2024,218.8235,337,129.2039,7.698066,6.226182,0,0,0,17
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:51777->2606:4700:7::1fd:80_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2606:4700:7::1fd,51777,80,1788059760.599369,1788059760.770030,TCP,0.170661,2,148,11.7192,867.2176,74.0,74,0.0,0.170661,0.0,0,2,0,6
2606:4700:7::1fd:80->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:51777_TCP,2606:4700:7::1fd,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,80,51777,1788059760.769992,1788059760.769992,TCP,0.0,1,74,0.0,0.0,74.0,74,0.0,0.0,0.0,0,1,0,6
2001:4860:4846:400:::443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:60423_TCP,2001:4860:4846:400::,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,60423,1788059761.509424,1788059761.563292,TCP,0.053867,3,222,55.6924,4121.2356,74.0,74,0.0,0.026934,0.038071,0,1,2,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:60423->2001:4860:4846:400:::443_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2001:4860:4846:400::,60423,443,1788059761.509502,1788059761.509659,TCP,0.000156,3,246,19181.2683,1572864.0,82.0,98,13.8564,7.8e-05,5e-05,0,3,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:54488->2404:6800:4013:813::5f:443_UDP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2404:6800:4013:813::5f,54488,443,1788059761.958185,1788059849.232947,UDP,87.274762,10,930,0.1146,10.656,93.0,95,2.1082,9.697196,5.029128,0,0,0,17
2404:6800:4013:813::5f:443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:54488_UDP,2404:6800:4013:813::5f,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,54488,1788059762.043191,1788059849.211151,UDP,87.167959,11,2221,0.1262,25.4795,201.9091,339,131.2558,8.716796,5.727348,0,0,0,17
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:57405->64:ff9b::2236:546e:443_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,64:ff9b::2236:546e,57405,443,1788059763.423303,1788059883.761840,TCP,120.338537,8,846,0.0665,7.0302,105.75,119,19.1815,17.19122,15.674823,0,8,0,6
64:ff9b::2236:546e:443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:57405_TCP,64:ff9b::2236:546e,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,57405,1788059763.484836,1788059883.824736,TCP,120.3399,11,1069,0.0914,8.8832,97.1818,151,34.8764,12.03399,15.254887,0,11,0,6
fe80::4271:f819:8915:590a:64349->fe80::f8d3:f0ff:febe:3364:53_UDP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,64349,53,1788059768.374930,1788059768.374930,UDP,0.0,1,115,0.0,0.0,115.0,115,0.0,0.0,0.0,0,0,0,17
fe80::4271:f819:8915:590a:54104->fe80::f8d3:f0ff:febe:3364:53_UDP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,54104,53,1788059768.375117,1788059768.375117,UDP,0.0,1,115,0.0,0.0,115.0,115,0.0,0.0,0.0,0,0,0,17
fe80::4271:f819:8915:590a:64258->fe80::f8d3:f0ff:febe:3364:53_UDP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,64258,53,1788059768.375271,1788059768.375271,UDP,0.0,1,115,0.0,0.0,115.0,115,0.0,0.0,0.0,0,0,0,17
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:64349_UDP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,64349,1788059768.378402,1788059768.378402,UDP,0.0,1,339,0.0,0.0,339.0,339,0.0,0.0,0.0,0,0,0,17
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:54104_UDP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,54104,1788059768.424958,1788059768.424958,UDP,0.0,1,243,0.0,0.0,243.0,243,0.0,0.0,0.0,0,0,0,17
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:53919->2001:4860:4843:400:::443_UDP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2001:4860:4843:400::,53919,443,1788059768.440806,1788059769.194570,UDP,0.753763,11,6149,14.5934,8157.7319,559.0,1292,583.5373,0.075376,0.195491,0,0,0,17
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:64258_UDP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,64258,1788059768.448963,1788059768.448963,UDP,0.0,1,172,0.0,0.0,172.0,172,0.0,0.0,0.0,0,0,0,17
2001:4860:4843:400:::443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:53919_UDP,2001:4860:4843:400::,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,53919,1788059768.507799,1788059769.273024,UDP,0.765225,15,8441,19.6021,11030.7435,562.7333,1292,567.2576,0.054659,0.165782,0,0,0,17
fe80::4271:f819:8915:590a:50562->fe80::f8d3:f0ff:febe:3364:53_UDP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,50562,53,1788059772.477902,1788059797.102768,UDP,24.624866,9,909,0.3655,36.9139,101.0,112,6.6332,3.078108,4.293969,0,0,0,17
fe80::4271:f819:8915:590a:56978->fe80::f8d3:f0ff:febe:3364:53_UDP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,56978,53,1788059772.478038,1788059772.478038,UDP,0.0,1,112,0.0,0.0,112.0,112,0.0,0.0,0.0,0,0,0,17
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:50562_UDP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,50562,1788059772.541711,1788059797.193438,UDP,24.651727,9,2113,0.3651,85.7141,234.7778,333,40.8894,3.081466,4.275356,0,0,0,17
172.20.10.6:56978->172.20.10.1:53_UDP,172.20.10.6,172.20.10.1,56978,53,1788059772.544508,1788059772.544508,UDP,0.0,1,92,0.0,0.0,92.0,92,0.0,0.0,0.0,0,0,0,17
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:56978_UDP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,56978,1788059772.564675,1788059772.564675,UDP,0.0,1,251,0.0,0.0,251.0,251,0.0,0.0,0.0,0,0,0,17
172.20.10.1:53->172.20.10.6:56978_UDP,172.20.10.1,172.20.10.6,53,56978,1788059772.564889,1788059772.564889,UDP,0.0,1,231,0.0,0.0,231.0,231,0.0,0.0,0.0,0,0,0,17
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:64763->64:ff9b::284f:967b:443_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,64:ff9b::284f:967b,64763,443,1788059772.565365,1788059882.675072,TCP,110.109706,15,2784,0.1362,25.2839,185.6,1097,290.1644,7.864979,29.143714,1,14,0,6
64:ff9b::284f:967b:443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:64763_TCP,64:ff9b::284f:967b,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,64763,1788059772.873434,1788059882.674955,TCP,109.801521,13,10568,0.1184,96.2464,812.9231,1294,561.6092,9.150127,31.545416,1,13,0,6
fe80::f8d3:f0ff:febe:3364:0->fe80::4271:f819:8915:590a:0_IPv6-ICMP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,0,0,1788059773.343571,1788059874.009757,IPv6-ICMP,100.666187,5,430,0.0497,4.2715,86.0,86,0.0,25.166547,3.890236,0,0,0,1
fe80::4271:f819:8915:590a:0->fe80::f8d3:f0ff:febe:3364:0_IPv6-ICMP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,0,0,1788059773.343611,1788059874.009830,IPv6-ICMP,100.666219,5,430,0.0497,4.2715,86.0,86,0.0,25.166555,3.890228,0,0,0,1
fe80::f8d3:f0ff:febe:3364:0->ff02::1:0_IPv6-ICMP,fe80::f8d3:f0ff:febe:3364,ff02::1,0,0,1788059774.601750,1788059874.604900,IPv6-ICMP,100.00315,2,316,0.02,3.1599,158.0,158,0.0,100.00315,0.0,0,0,0,1
fe80::4271:f819:8915:590a:59966->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,59966,53,1788059776.187409,1788059776.238791,TCP,0.051382,6,493,116.7728,9594.8322,82.1667,109,13.9487,0.010276,0.022445,1,5,0,6
fe80::4271:f819:8915:590a:49670->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,49670,53,1788059776.187575,1788059826.010551,TCP,49.822976,12,984,0.2409,19.7499,82.0,109,12.9404,4.529361,14.987326,2,10,0,6
fe80::4271:f819:8915:590a:55683->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,55683,53,1788059776.187713,1788059776.249426,TCP,0.061713,6,493,97.225,7988.6566,82.1667,109,13.9487,0.012343,0.026828,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:59966_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,59966,1788059776.188115,1788059776.239045,TCP,0.05093,5,469,98.1744,9208.7568,93.8,161,37.9236,0.012732,0.024709,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:49670_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,49670,1788059776.188255,1788059826.010813,TCP,49.822558,11,1162,0.2208,23.3228,105.6364,335,78.3381,4.982256,15.71852,2,11,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:55683_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,55683,1788059776.188779,1788059776.249662,TCP,0.060883,5,547,82.1243,8984.4037,109.4,239,72.6347,0.015221,0.029811,1,5,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:54876->2001:4860:4826:200:::443_UDP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2001:4860:4826:200::,54876,443,1788059776.250086,1788059776.602770,UDP,0.352684,17,10285,48.2017,29162.0416,605.0,1292,593.6943,0.022043,0.048694,0,0,0,17
2001:4860:4826:200:::443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:54876_UDP,2001:4860:4826:200::,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,54876,1788059776.315425,1788059776.672655,UDP,0.35723,20,8480,55.9863,23738.2113,424.0,1292,502.0572,0.018802,0.049154,0,0,0,17
fe80::4271:f819:8915:590a:64571->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,64571,53,1788059785.282462,1788059785.335327,TCP,0.052865,6,493,113.4961,9325.5937,82.1667,109,13.9487,0.010573,0.022941,1,5,0,6
fe80::4271:f819:8915:590a:65281->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,65281,53,1788059785.282819,1788059785.355211,TCP,0.072393,6,493,82.8813,6810.0787,82.1667,109,13.9487,0.014479,0.031887,1,5,0,6
fe80::4271:f819:8915:590a:62549->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,62549,53,1788059785.283000,1788059785.360706,TCP,0.077706,6,493,77.2143,6344.4378,82.1667,109,13.9487,0.015541,0.034298,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:64571_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,64571,1788059785.283252,1788059785.335547,TCP,0.052295,5,464,95.6106,8872.6654,92.8,156,35.7099,0.013074,0.025233,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:65281_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,65281,1788059785.283365,1788059785.355451,TCP,0.072086,5,447,69.3617,6200.9389,89.4,139,28.2099,0.018021,0.035262,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:62549_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,62549,1788059785.283453,1788059785.360949,TCP,0.077496,6,541,77.4235,6981.0223,90.1667,159,34.0612,0.015499,0.033957,1,6,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:65357->2606:4700:9aea:658:b8a7:a7b:5dc1:8f36:443_UDP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2606:4700:9aea:658:b8a7:a7b:5dc1:8f36,65357,443,1788059785.361455,1788059786.027064,UDP,0.665609,32,7493,48.0763,11257.3618,234.1562,1292,355.9233,0.021471,0.062789,0,0,0,17
2606:4700:9aea:658:b8a7:a7b:5dc1:8f36:443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:65357_UDP,2606:4700:9aea:658:b8a7:a7b:5dc1:8f36,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,65357,1788059785.665426,1788059786.020566,UDP,0.355139,49,53606,137.974,150943.5051,1094.0,1262,412.7456,0.007399,0.02865,0,0,0,17
fe80::4271:f819:8915:590a:59586->fe80::f8d3:f0ff:febe:3364:53_UDP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,59586,53,1788059785.878861,1788059841.649383,UDP,55.770522,17,1704,0.3048,30.5538,100.2353,113,5.3681,3.485658,4.680216,0,0,0,17
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:59586_UDP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,59586,1788059785.914893,1788059841.718983,UDP,55.80409,17,3233,0.3046,57.9348,190.1765,337,80.3821,3.487756,4.683339,0,0,0,17
fe80::4271:f819:8915:590a:51299->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,51299,53,1788059785.927866,1788059785.966101,TCP,0.038235,6,491,156.9255,12841.7344,81.8333,107,13.1821,0.007647,0.015846,1,5,0,6
fe80::4271:f819:8915:590a:62936->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,62936,53,1788059785.928162,1788059785.966214,TCP,0.038052,6,491,157.6796,12903.4484,81.8333,107,13.1821,0.00761,0.015791,1,5,0,6
fe80::4271:f819:8915:590a:52751->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,52751,53,1788059785.928335,1788059785.950369,TCP,0.022034,6,491,272.3044,22283.5732,81.8333,107,13.1821,0.004407,0.008816,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:51299_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,51299,1788059785.928359,1788059785.966356,TCP,0.037997,6,632,157.9072,16632.8888,105.3333,250,71.0343,0.007599,0.012021,1,6,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:62936_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,62936,1788059785.928521,1788059785.966536,TCP,0.038014,6,623,157.8349,16388.5213,103.8333,241,67.3689,0.007603,0.012121,1,6,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:52751_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,52751,1788059785.928668,1788059785.950636,TCP,0.021968,5,525,227.6049,23898.5196,105.0,217,62.8252,0.005492,0.006762,1,5,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:56166->2405:200:160b:1731::312c:7343:443_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2405:200:160b:1731::312c:7343,56166,443,1788059785.966723,1788059842.843916,TCP,56.877193,10,2949,0.1758,51.8486,294.9,1314,450.13,6.319688,14.867702,1,9,1,6
2405:200:160b:1731::312c:7343:443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:56166_TCP,2405:200:160b:1731::312c:7343,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,56166,1788059785.992092,1788059842.887544,TCP,56.895452,10,1382,0.1758,24.2902,138.2,377,116.6808,6.321717,14.881289,1,10,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:56167->2405:200:160b:1731::312c:731b:443_TCP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2405:200:160b:1731::312c:731b,56167,443,1788059786.775246,1788059861.772662,TCP,74.997417,8,1721,0.1067,22.9475,215.125,837,268.4503,10.713917,28.283699,1,7,1,6
fe80::4271:f819:8915:590a:62868->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,62868,53,1788059786.793494,1788059786.796864,TCP,0.00337,6,491,1780.2649,145685.0074,81.8333,107,13.1821,0.000674,0.001032,1,5,0,6
fe80::4271:f819:8915:590a:59655->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,59655,53,1788059786.793705,1788059786.796753,TCP,0.003048,6,491,1968.3867,161079.6452,81.8333,107,13.1821,0.00061,0.001067,1,5,0,6
fe80::4271:f819:8915:590a:52052->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,52052,53,1788059786.793820,1788059786.796928,TCP,0.003108,6,491,1930.3386,157966.04,81.8333,107,13.1821,0.000622,0.000848,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:62868_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,62868,1788059786.793906,1788059786.797312,TCP,0.003407,5,432,1467.6688,126806.5874,86.4,124,21.6518,0.000852,0.000774,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:59655_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,59655,1788059786.794052,1788059786.797100,TCP,0.003048,5,641,1640.5789,210322.2142,128.2,333,114.6045,0.000762,0.000773,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:52052_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,52052,1788059786.794530,1788059786.797369,TCP,0.002839,5,545,1761.2766,191979.145,109.0,237,71.7426,0.00071,0.000698,1,5,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:56974->2001:4860:4827:400:::443_UDP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2001:4860:4827:400::,56974,443,1788059786.797539,1788059801.305388,UDP,14.50785,119,30503,8.2025,2102.517,256.3277,1292,380.9604,0.122948,0.816982,0,0,0,17
2405:200:160b:1731::312c:731b:443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:56167_TCP,2405:200:160b:1731::312c:731b,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,56167,1788059786.808227,1788059861.776956,TCP,74.968729,8,1427,0.1067,19.0346,178.375,377,135.479,10.709818,28.299645,1,8,0,6
2001:4860:4827:400:::443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:56974_UDP,2001:4860:4827:400::,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,56974,1788059786.862602,1788059801.362053,UDP,14.499452,223,223581,15.3799,15419.9622,1002.6054,1292,478.0511,0.065313,0.598786,0,0,0,17
fe80::4271:f819:8915:590a:54460->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,54460,53,1788059787.059728,1788059787.099972,TCP,0.040244,6,487,149.0911,12101.2237,81.1667,103,11.669,0.008049,0.008993,1,5,1,6
fe80::4271:f819:8915:590a:52091->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,52091,53,1788059787.059996,1788059787.071760,TCP,0.011764,6,487,510.0285,41397.3096,81.1667,103,11.669,0.002353,0.003352,1,5,0,6
fe80::4271:f819:8915:590a:62119->fe80::f8d3:f0ff:febe:3364:53_TCP,fe80::4271:f819:8915:590a,fe80::f8d3:f0ff:febe:3364,62119,53,1788059787.060222,1788059787.071488,TCP,0.011266,6,487,532.5537,43225.6068,81.1667,103,11.669,0.002253,0.003285,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:54460_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,54460,1788059787.060340,1788059787.100026,TCP,0.039686,5,470,125.9876,11842.8356,94.0,162,38.3667,0.009922,0.008866,1,5,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:52091_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,52091,1788059787.067997,1788059787.071879,TCP,0.003883,6,599,1545.2428,154266.7381,99.8333,217,57.6001,0.000777,0.000662,1,6,0,6
fe80::f8d3:f0ff:febe:3364:53->fe80::4271:f819:8915:590a:62119_TCP,fe80::f8d3:f0ff:febe:3364,fe80::4271:f819:8915:590a,53,62119,1788059787.068017,1788059787.071788,TCP,0.003771,6,663,1591.1624,175823.4416,110.5,281,83.6654,0.000754,0.000619,1,6,0,6
2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:49668->2404:6800:4003:c1a::77:443_UDP,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,2404:6800:4003:c1a::77,49668,443,1788059787.078823,1788059789.894556,UDP,2.815733,68,11736,24.15,4168.0089,172.5882,1292,257.3471,0.042026,0.262994,0,0,0,17
2404:6800:4003:c1a::77:443->2409:40c4:2024:5958:51ff:38d8:7ac5:9d74:49668_UDP,2404:6800:4003:c1a::77,2409:40c4:2024:5958:51ff:38d8:7ac5:9d74,443,49668,1788059787.163199,1788059789.968546,UDP,2.805348,159,190244,56.6775,67814.7672,1196.5031,1292,311.9684,0.017755,0.178059,0,0,0,17
